name,url,institutions,countries,country
Benjamin Allen Watson,https://dl.acm.org/profile/81100375996,"['NC State University', 'IEEE', 'Northwestern University', 'University of Alberta', 'Georgia Institute of Technology']","['United States', 'United States', 'United States', 'Canada', 'United States']",United States
Dong Li,https://dl.acm.org/profile/99659915798,['East China Normal University'],['China'],China
Hong Yin,https://dl.acm.org/profile/99659290545,['East China Normal University'],['China'],China
Changbo Wang,https://dl.acm.org/profile/81100220966,"['East China Normal University', 'Shanghai University', 'State Key Lab of CAD&CG, Zhejiang University']","['China', 'China', 'China']",China
Sicheng Song,https://dl.acm.org/profile/99659915122,['East China Normal University'],['China'],China
Kirlin Li,https://dl.acm.org/profile/99659482820,['East China Normal University'],['China'],China
Chenhui Li,https://dl.acm.org/profile/99658761360,"['East China Normal University', 'Hong Kong Polytechnic University']","['China', 'Hong Kong']",China
Qiaorui Chen,https://dl.acm.org/profile/99659915850,"['School of Aeronautics and Astronautics, Zhejiang University', 'Zhejiang University']","['China', 'China']",China
Shuai Zhang,https://dl.acm.org/profile/99659915914,"['School of Aeronautics and Astronautics, Zhejiang University', 'Zhejiang University']","['China', 'China']",China
Yao Zheng,https://dl.acm.org/profile/81452604154,"['Zhejiang University', 'School of Aeronautics and Astronautics, Zhejiang University', 'School of Computer and Computing Science']","['China', 'China', 'China']",China
Marco Schmid,https://dl.acm.org/profile/99659916273,,,
Rahel Haymoz,https://dl.acm.org/profile/99659915055,['University of Applied Sciences Western Switzerland'],['Switzerland'],Switzerland
David Schiller,https://dl.acm.org/profile/99659916017,,,
Carolin Fiedler,https://dl.acm.org/profile/99659638986,['University of Potsdam'],['Germany'],Germany
Matthias Trapp,https://dl.acm.org/profile/81375606710,"['Hasso Plattner Institute for Digital Engineering gGmbH', 'University of Potsdam']","['Germany', 'Germany']",Germany
Nico Klaassen,https://dl.acm.org/profile/99659653162,['Eindhoven University of Technology'],['Netherlands'],Netherlands
Haoran Dai,https://dl.acm.org/profile/99659483556,"['State Key Lab of CAD&CG, Zhejiang University']",['China'],China
Yubo Tao,https://dl.acm.org/profile/81421599679,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']","['China', 'China']",China
Hai Lin,https://dl.acm.org/profile/81408600175,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University', 'Fudan University']","['China', 'China', 'China']",China
Hao Tang,https://dl.acm.org/profile/99659483577,['Hangzhou Dianzi University'],['China'],China
Sixiang Fei,https://dl.acm.org/profile/99659482760,['Hangzhou Dianzi University'],['China'],China
Xiaoying Shi,https://dl.acm.org/profile/99659482636,['Hangzhou Dianzi University'],['China'],China
Hanbyul Yeon,https://dl.acm.org/profile/99658765084,['Sejong University'],['South Korea'],South Korea
Mingyu Pi,https://dl.acm.org/profile/99659482864,['Sejong University'],['South Korea'],South Korea
Hyesook Son,https://dl.acm.org/profile/99659483077,['Sejong University'],['South Korea'],South Korea
Yun Jang,https://dl.acm.org/profile/81372592812,"['Sejong University', 'Swiss Federal Institute of Technology, Zurich', 'Purdue University']","['South Korea', 'Switzerland', 'United States']",South Korea
Rohan Goel,https://dl.acm.org/profile/99659291193,"['Birla Institute of Technology and Science, Pilani']",['India'],India
Samiha Fadloun,https://dl.acm.org/profile/99659290090,['University of Montpellier'],['France'],France
Sarah Valentin,https://dl.acm.org/profile/99659290844,['University of Montpellier'],['France'],France
Arnaud Sallaberry,https://dl.acm.org/profile/81375620314,"['University of Montpellier', 'Universite Paul-Valery Montpellier III', 'University of California, Davis']","['France', 'France', 'United States']",France
Mathieu Roche,https://dl.acm.org/profile/81384592979,"['Territoires, Environnement, Télédétection et Information Spatiale', 'University of Montpellier', 'CIRAD']","['France', 'France', 'France']",France
Pascal Poncelet,https://dl.acm.org/profile/81100236660,['University of Montpellier'],['France'],France
Humphrey O Obie,https://dl.acm.org/profile/99659291871,"['Monash University', 'Swinburne University of Technology']","['Australia', 'Australia']",Australia
Caslon Chua,https://dl.acm.org/profile/81490649118,['Swinburne University of Technology'],['Australia'],Australia
Iman Avazpour,https://dl.acm.org/profile/81440623086,"['Deakin University', 'Swinburne University of Technology']","['Australia', 'Australia']",Australia
