name,institutions
Quan Wen,['China Automotive Technology and Research Center Co. Ltd']
Wenjun Guo,['Ajou University']
Seungwook Kim,['Seoul National University']
Sangjoon Son,['Ajou University']
Changhyung Hong,['Ajou University']
Hyunjung (Helen) Shin,"['Ajou University', 'University of Tübingen', 'Friedrich Miescher Laboratory', 'Seoul National University', 'Max Planck Institute for Biological Cybernetics']"
Thanyathorn Thanapattheerakul,['King Mongkuts University of Technology Thonburi']
Jaturong Kongmanee,"['Michigan State University', 'Texas Tech University', 'King Mongkuts University of Technology Thonburi']"
Saila Shama,['University of Toronto']
Philip Lu,['University of Toronto']
Narumol Doungpan,['King Mongkuts University of Technology Thonburi']
Asawin Meechai,['King Mongkuts University of Technology Thonburi']
Jiafan Li,['East China Normal University']
Zhijie Qiao,['East China Normal University']
Junjie Wang,['East China Normal University']
Wutthipong Kongburan,['King Mongkuts University of Technology Thonburi']
Praisan Padungweang,['King Mongkuts University of Technology Thonburi']
Worarat Krathu,"['King Mongkuts University of Technology Thonburi', 'Vienna University of Technology']"
Luca Chech,['University of Padova']
Marta Vasilieva,['University of Helsinki']
Lorenzo Papa,['University of Padova']
Luciano Gamberini,['University of Padova']
Jiajing Zhang,['Zhejiang University']
Ren Peng,"['Zhejiang University', 'School of Computer and Computing Science']"
Jinhui Yu,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']"
Denise Junger,['University of Stuttgart']
Isabel Hagen,['University of Stuttgart']
Robin Horst,['University of Stuttgart']
Lukas Brand,"['Landshut University of Applied Sciences', 'University of Erlangen-Nuremberg', 'University of Stuttgart']"
Armin Müller,['University of Stuttgart']
Benjamin Weinert,"['University of Oldenburg', 'University of Stuttgart']"
Patrick Cheong-Iao Pang,"['School of Computing and Information Systems', 'University of Melbourne']"
Bin Pang,['University of Macau']
Dominique Tranquille,['University of Brighton']
Gem Stapleton,"['University of Brighton', 'University of Kent']"
Jim Burton,['University of Brighton']
Peter J Rodgers,['University of Kent']
Thomas Gründer,['Technische Universität Dresden']
Thomas Thom,[]
Martin Kleinsteuber,"['Technical University of Munich', 'Mercateo Deutschland AG', 'Ludwig-Maximilians-University Munich', 'TUM Department of Electrical and Computer Engineering', 'The Australian National University', 'CSIRO Data61', 'Julius-Maximilian University of Würzburg']"
Alexander Maasch,[]
