id,name,institutions,url
82458816557,Detan Si,[],https://dl.acm.org/profile/82458816557
81472652484,Abhishek P Chhetri,['The University of Texas at Dallas'],https://dl.acm.org/profile/81472652484
99659528788,Eakta Jain,"['Texas Instruments', 'The University of Texas at Dallas']",https://dl.acm.org/profile/99659528788
82459080257,Chenghai Zhang,['East China Normal University'],https://dl.acm.org/profile/82459080257
81549398556,Zaijia Liu,['Tsinghua University'],https://dl.acm.org/profile/81549398556
81416606402,Xianjunsam Zheng,"['Tsinghua University', 'Siemens USA']",https://dl.acm.org/profile/81416606402
82458982257,Mingyang Wu,['Tsinghua University'],https://dl.acm.org/profile/82458982257
82458977257,Rui Dong,['Tsinghua University'],https://dl.acm.org/profile/82458977257
81549374356,Kaiping Peng,['Tsinghua University'],https://dl.acm.org/profile/81549374356
81375593142,Jie Liang,"['University of Technology Sydney', 'Peking University', 'Beijing University of Technology']",https://dl.acm.org/profile/81375593142
81500642052,Rossella Aiello,['University of Salerno'],https://dl.acm.org/profile/81500642052
81100355192,Giancarlo Nota,['University of Salerno'],https://dl.acm.org/profile/81100355192
81100149457,Gennaro Costagliola,"['University of Salerno', 'IEEE']",https://dl.acm.org/profile/81100149457
82458760257,Fabrizio Torre,['University of Salerno'],https://dl.acm.org/profile/82458760257
82458612157,Waihou Ao,['University of Macau'],https://dl.acm.org/profile/82458612157
82459058457,Mattia de Rosa,['University of Salerno'],https://dl.acm.org/profile/82459058457
81339499356,Andrew Fish,['University of Brighton'],https://dl.acm.org/profile/81339499356
81315488598,Vittorio Fuccella,['University of Salerno'],https://dl.acm.org/profile/81315488598
82459181257,Chenxi Li,['Nanjing University'],https://dl.acm.org/profile/82459181257
82458777657,Yejia Zhang,['Nanjing University'],https://dl.acm.org/profile/82458777657
82459145257,Tianyang Liu,['University of Tours'],https://dl.acm.org/profile/82459145257
81339491153,Fatma Bouali,"['University of Lille', 'University of Tours']",https://dl.acm.org/profile/81339491153
81100271205,Gilles Venturini,"['University of Tours', 'Paris-Sud University']",https://dl.acm.org/profile/81100271205
81453651594,William Plant,['Aston University'],https://dl.acm.org/profile/81453651594
81324493315,Gerald Schaefer,"['Loughborough University', 'Aston University', 'Nottingham Trent University', 'University of East Anglia']",https://dl.acm.org/profile/81324493315
81322501374,Xiangxu Meng,"['Shandong University', 'Ministry of Education China']",https://dl.acm.org/profile/81322501374
82459232057,Xiaoting Bi,['Shandong University'],https://dl.acm.org/profile/82459232057
81540747756,Shenghui Cheng,['Shandong University'],https://dl.acm.org/profile/81540747756
82459188557,Gerry Derksen,['Winthrop University'],https://dl.acm.org/profile/82459188557
