type,title,year,authors,citations,downloads,doi,publisher,venue,n_reference
poster,A Layout Technique for Storyline-based Visualization of Consecutive Numerical Time-varying Data,2015,"['Sayaka Yagi', 'Takayuki Itoh', 'Masahiro Takatsuka']",1,119,10.1145/2801040.2801067,ACM,vinci,3
poster,Logo Trend Visualization: Logo Design Shape Element Trend and Pattern Analysis,2015,"['Hyoji Ha', 'Sungyun Bae', 'Hyunwoo Han', 'Kyungwon Lee']",0,193,10.1145/2801040.2801069,ACM,vinci,2
poster,Data Analysis Tool for Arm Movement Pattern in Virtual Catching Task: A Preliminary Development,2015,"['Shinya Tachihara', 'Takehiko Yamaguchi', 'Naoki Ishiura', 'Mickaël Dinomais', 'Paul Richard', 'Sylvie Nguyen']",0,113,10.1145/2801040.2801068,ACM,vinci,4
poster,A Visual Approach to Detecting Drive-by Download Attacks,2015,"['Tetsuji Takada', 'Katsuhiro Amako']",1,97,10.1145/2801040.2801070,ACM,vinci,3
poster,A Projection-based Medical Augmented Reality System,2015,"['Jiann Der Lee', 'Haoche Lee', 'Chunghung Hsieh', 'Chiehtsai Wu', 'Shintseng Lee']",0,176,10.1145/2801040.2801065,ACM,vinci,4
poster,Enhanced Visualization of News Shot Cloud with Employing Circular Layout,2015,"['Norio Katayama', 'Hiroshi Mo', ""Shin'ichi Satoh""]",0,45,10.1145/2801040.2801071,ACM,vinci,3
poster,Using Virtual Reality Technique to Enhance Experience of Exploring 3D Trajectory Visualizations,2015,"['Mengjia Zhang', 'Jie Li', 'K. Zhang']",2,209,10.1145/2801040.2801072,ACM,vinci,2
tutorial,Visually Do Statistics for Business Persons: Visual Materials from Regression to Black-Sholes Model,2015,"['Yukari Shirota', 'Yutaka Takahashi', 'Nobuhide Tanaka', 'Michiya Morita']",1,46,10.1145/2801040.2802138,ACM,vinci,6
research-article,Adaptive Visualization Interface That Manages User's Cognitive Load Based on Interaction Characteristics,2014,"['Anatoly Yelizarov', 'Dennis Yu Gamayunov']",8,346,10.1145/2636240.2636844,ACM,vinci,59
research-article,CoVE: A Colony Visualization System for Animal Pedigrees,2014,"['Brady Cannon', 'Minoti Hiremath', 'Cheryl Jorcyk', 'Alark Joshi']",1,98,10.1145/2636240.2636850,ACM,vinci,24
research-article,A Space-Filling Multidimensional Visualization (SFMDVis for Exploratory Data Analysis,2014,"['Tze Haw Huang', 'Maolin Huang', 'Quang Vinh Nguyen', 'Laiping Zhao']",3,161,10.1145/2636240.2636841,ACM,vinci,26
research-article,A Flip-Book of Edge-Splatted Small Multiples for Visualizing Dynamic Graphs,2014,"['Michael Burch', 'Daniel Weiskopf']",11,232,10.1145/2636240.2636839,ACM,vinci,25
research-article,Visualizing Bag-of-Features Image Categorization Using Anchored Maps,2014,"['Gao Yi', 'Hsiangyun Wu', 'Kazuo Misue', 'Kazuyo Mizuno', 'Shigeo Takahashi']",1,121,10.1145/2636240.2636858,ACM,vinci,25
research-article,Parallel Coordinates with Data Labels,2014,"['Hong Zhou', 'Panpan Xu', 'Zhong Ming', 'Huamin Qu']",3,201,10.1145/2636240.2636854,ACM,vinci,33
research-article,Generating Reusable Visual Notations using Model Transformation,2014,"['Iman Avazpour', 'John C. Grundy', 'Haile Vu']",1,73,10.1145/2636240.2636843,ACM,vinci,15
research-article,Encapsulating Interaction Techniques of 3D Language Editors in Visual Patterns,2014,"['Jan Wolter', 'Uwe Kastens']",0,85,10.1145/2636240.2636840,ACM,vinci,28
research-article,Interactive Sand Art Drawing Using Kinect,2014,"['Kaimin Chen', 'Sai Keung Wong']",5,365,10.1145/2636240.2636846,ACM,vinci,33
research-article,Supporting Access Control within a Mockup-based EUDWeb Environment,2014,"['Loredana Caruccio', 'Vincenzo Deufemia', ""Christopher D'Souza"", 'Athula Ginige', 'Giuseppe Polese']",1,87,10.1145/2636240.2636855,ACM,vinci,36
research-article,A Time-based Visualization for Web User Classification in Social Networks,2014,"['Andrew S Brunker', 'Quang Vinh Nguyen', 'Anthony J Maeder', 'Rhys Tague', 'Gregory S Kolt', 'Trevor N Savage', 'Corneel Vandelanotte', 'Mitch J Duncan', 'Cristina M Caperchione', 'Richard R Rosenkranz', 'Anetta Van Itallie', 'W Kerry Mummery']",3,187,10.1145/2636240.2636842,ACM,vinci,19
research-article,Ember: A Smartphone Web Browser Interface for the Blind,2014,"['Isha Singh Jassi', 'S Ruchika', 'Susmitha Pulakhandam', 'Subhayan Mukherjee', 'T S Ashwin', 'Geereddy Ram Mohana Reddy']",2,261,10.1145/2636240.2636847,ACM,vinci,13
research-article,Mobile Visualization Supporting Awareness in Collaborative Software Development,2014,"['Mengyao Chen', 'Cong Chen', 'Shuqing Liu', 'K. Zhang']",2,141,10.1145/2636240.2636857,ACM,vinci,24
research-article,NEI: A Framework for Dynamic News Event Exploration and Visualization,2014,"['Xiaofei Guo', 'Juanzi Li', 'Ruibing Yang', 'Xiaoli Ma']",1,147,10.1145/2636240.2636845,ACM,vinci,21
research-article,Visualising and systematizing a per-poor ICT intervention for Rural and Semi-urban Mothers in India,2014,"['Priyamvada Tiwari', 'Keyur Sorathia']",8,204,10.1145/2636240.2636856,ACM,vinci,29
research-article,Developing useful Visualizations of Domestic Energy Usage,2014,"['Joris Suppers', 'Mark D Apperley']",5,221,10.1145/2636240.2636853,ACM,vinci,40
research-article,How Should We Use Colour in Euler Diagrams?,2014,"['Andrew Blake', 'Gem Stapleton', 'Peter J Rodgers', 'John Howse']",10,162,10.1145/2636240.2636838,ACM,vinci,34
research-article,Towards a Cognitive Approach to User-Centered Visualization Design and Evaluation,2014,"['Weidong Huang', 'Tomasz P Bednarz']",0,215,10.1145/2636240.2636848,ACM,vinci,31
research-article,Emergence and Artistic Visualization,2014,['Jennifer Seevinck'],2,120,10.1145/2636240.2636851,ACM,vinci,27
research-article,Art and Chartjunk: a Guide for NEUVis,2014,"['Phillip Gough', 'Xavier Ho', 'Kate Dunn', 'Tomasz P Bednarz']",4,217,10.1145/2636240.2636852,ACM,vinci,29
research-article,Web-based Multiuser 3D Room Layout System Using Interactive Evolutionary Computation with Conjoint Analysis,2014,"['Ryuya Akase', 'Yoshihiro Okada']",9,156,10.1145/2636240.2636849,ACM,vinci,9
research-article,Hyperbolic Tree + Time Disc: Visualizing Hierarchical Time-series Data,2014,"['Ning Li', 'Zhifang Jiang', 'Zixiang Liu', 'Haoxin Sun']",2,112,10.1145/2636240.2636862,ACM,vinci,7
research-article,Design Implications from the Preliminary Results of a Telemedicine Patient-Technology Interaction Study,2014,"['Sakib Jalil', 'Trina S Myers', 'Ian M Atkinson']",2,143,10.1145/2636240.2636860,ACM,vinci,14
research-article,Radial vs. Cartesian Revisited: A Comparison of Space-Filling Visualizations,2014,"['Minwook Kim', 'Geoffrey M Draper']",1,173,10.1145/2636240.2636871,ACM,vinci,14
research-article,Vision Based Laser Controlled Keyboard System for the Disabled,2014,"['Hiba Ahsan', 'Aarti Prabhu', 'S D Deeksha', 'Shridhar G Domanal', 'T S Ashwin', 'Geereddy Ram Mohana Reddy']",2,111,10.1145/2636240.2636863,ACM,vinci,15
research-article,"Large Scale, Collaborative, Invasive Species Planning and Visualisation Tool",2014,"['Dylan Mathiesen', 'Trina S Myers', 'Ian M Atkinson']",0,75,10.1145/2636240.2636865,ACM,vinci,14
research-article,Using Your Fingers to Think: Interactive Exploration of Subjective Constraints,2014,"['Andrew Bennett', 'Christopher Lueg']",0,77,10.1145/2636240.2636868,ACM,vinci,6
research-article,Metaphors in Interactive Visual Analytics,2014,"['Jacob L Cybulski', 'Susan Keller', 'Dilal Saundage']",5,275,10.1145/2636240.2636866,ACM,vinci,20
research-article,Photomosaic Generation for Photograph Collection Browsing,2014,"['Kiho Sakamoto', 'Takayuki Itoh']",1,80,10.1145/2636240.2636861,ACM,vinci,8
research-article,Super Resolution to Identify License Plate Numbers in Low Resolution Videos,2014,"['Lakkhana Mallikarachchi', 'Anuja T Dharmaratne']",1,198,10.1145/2636240.2636867,ACM,vinci,9
research-article,Monocular Human Motion Tracking in Latent Space based on Sequential Immune Genetic Algorithm,2014,"['Yi Li', 'Zhenfeng Wu', 'Ting Sun']",0,66,10.1145/2636240.2636870,ACM,vinci,12
research-article,Data Visualisation Trends in Mobile Augmented Reality Applications,2014,"['Callum Parker', 'Martin Tomitsch']",4,514,10.1145/2636240.2636864,ACM,vinci,12
research-article,Design of a Tangible Data Visualization,2014,"['Alireza Rezaeian', 'Jared Donovan']",6,365,10.1145/2636240.2636869,ACM,vinci,6
research-article,Facial Expression Generation in 3D Space,2014,"['P K S Udana', 'Anuja T Dharmaratne']",0,89,10.1145/2636240.2636876,ACM,vinci,1
research-article,Comparative impression analysis between real and virtual human skins,2014,"['Fumie Banba', 'Takayuki Itoh', 'Naruhito Toyoda', 'Hitomi Otaka']",0,49,10.1145/2636240.2636877,ACM,vinci,1
research-article,An Android GPS-Based Navigation Application For Blind,2014,"['K K Nisha', 'H R Pruthvi', 'Shwetha N Hadimani', 'Geereddy Ram Mohana Reddy', 'T S Ashwin', 'Shridhar G Domanal']",6,370,10.1145/2636240.2636878,ACM,vinci,2
research-article,A Feature Point Based Approach for Pose Variant Face Recognition,2014,"['Madhawa Gunasekara', 'Anuja T Dharmaratne', 'Damitha Sandaruwan']",1,127,10.1145/2636240.2636875,ACM,vinci,2
research-article,Semantic Human Activity Detection in Videos,2014,"['Hirantha Weerarathna', 'Anuja T Dharmaratne']",0,47,10.1145/2636240.2636874,ACM,vinci,2
research-article,Study on influence of the visibility in store lighting,2014,"['Hiroki Fujita', 'Yoshio Nakashima', 'Mamoru Takamatsu']",0,84,10.1145/2636240.2636872,ACM,vinci,1
research-article,Participatory Data Analytics: Collaborative Interfaces for Data Composition and Visualisation,2014,"['Daniel Filonik', 'Markus Rittenbruch', 'Professor Marcus Foth']",4,118,10.1145/2636240.2636873,ACM,vinci,9
research-article,Constructing collaborative services through augmented documents and objects,2013,"['Paolo Bottoni', 'Kamen D Kanev', 'Nikolay N Mirenkov']",1,122,10.1145/2493102.2493103,ACM,vinci,35
research-article,Multilevel interaction model for hierarchical tasks in information visualization,2013,"['Lei Ren', 'Jin Cui', 'Yi Du', 'Guozhong Dai']",5,266,10.1145/2493102.2493104,ACM,vinci,17
research-article,Visually modelling data intensive web applications to assist end-user development,2013,"['Vincenzo Deufemia', ""Christopher D'Souza"", 'Athula Ginige']",6,183,10.1145/2493102.2493105,ACM,vinci,25
research-article,A microstructure evolution visualization method based on neutrosophic set theory and cellular automaton technique,2013,"['Haifeng Li', 'Dayi Yang', 'Yangyang Fu', 'Hujie Huang', 'Hongyuan Fang']",0,102,10.1145/2493102.2493106,ACM,vinci,22
research-article,Intent-driven model synthesis,2013,"['Mofei Song', 'Feiqian Zhang', 'Zhengxing Sun', 'Yan Zhang']",0,118,10.1145/2493102.2493107,ACM,vinci,22
research-article,Visual analysis of retweeting propagation network in a microblogging platform,2013,"['Quan Li', 'Huamin Qu', 'Li Chen', 'Robert Wang', 'Jun-Hai Yong', 'Detan Si']",10,284,10.1145/2493102.2493108,ACM,vinci,21
research-article,ERELT: a faster alternative to the list-based interfaces for tree exploration and searching in mobile devices,2013,"['Abhishek P Chhetri', 'K. Zhang', 'Eakta Jain']",1,185,10.1145/2493102.2493109,ACM,vinci,19
research-article,Time-space varying visual analysis of micro-blog sentiment,2013,"['Chenghai Zhang', 'Yuhua Liu', 'Changbo Wang']",6,354,10.1145/2493102.2493110,ACM,vinci,18
research-article,Culture influence on aesthetic perception of Chinese and western paintings: evidence from eye movement patterns,2013,"['Zaijia Liu', 'Xianjunsam Zheng', 'Mingyang Wu', 'Rui Dong', 'Kaiping Peng']",0,386,10.1145/2493102.2493111,ACM,vinci,35
research-article,Visualizing large trees with divide & conquer partition,2013,"['Jie Liang', 'Simeon J Simoff', 'Quang Vinh Nguyen', 'Maolin Huang']",9,267,10.1145/2493102.2493112,ACM,vinci,24
research-article,3DRC: a novel technique in evaluating stakeholders project views,2013,"['Rossella Aiello', 'Giancarlo Nota', 'Gennaro Costagliola', 'Fabrizio Torre']",0,118,10.1145/2493102.2493113,ACM,vinci,23
research-article,A novel map-based visualization method based on liquid modelling,2013,"['Robert P. Biuk-Aghai', 'Waihou Ao']",5,180,10.1145/2493102.2493114,ACM,vinci,10
research-article,Euler diagram codes: interpretation and generation,2013,"['Paolo Bottoni', 'Gennaro Costagliola', 'Mattia de Rosa', 'Andrew Fish', 'Vittorio Fuccella']",1,97,10.1145/2493102.2493116,ACM,vinci,6
research-article,Best view selection of 3D models based on unsupervised feature learning and discrimination ability,2013,"['Chenxi Li', 'Zhengxing Sun', 'Mofei Song', 'Yejia Zhang']",2,123,10.1145/2493102.2493118,ACM,vinci,3
research-article,Visual and interactive analysis of a large collection of open data with the relative neighborhood graph,2013,"['Tianyang Liu', 'Fatma Bouali', 'Gilles Venturini']",0,149,10.1145/2493102.2493119,ACM,vinci,6
research-article,Exploring mapping-based visualisations of large remote image databases,2013,"['William Plant', 'Gerald Schaefer']",1,118,10.1145/2493102.2493120,ACM,vinci,6
research-article,A method of hierarchical time-series data visualization,2013,"['Ning Li', 'Zhifang Jiang', 'Zixiang Liu', 'Xiangxu Meng']",3,323,10.1145/2493102.2493121,ACM,vinci,5
research-article,Air pollution data visualization based on the shape of a tree,2013,"['Xiaoting Bi', 'Zhifang Jiang', 'Shenghui Cheng', 'Xiangxu Meng']",0,171,10.1145/2493102.2493122,ACM,vinci,6
research-article,Demonstrating data using storyboard visualization tool,2013,"['Gerry Derksen', 'Stan Ruecker', 'Tim Causer', 'Melissa M Terras']",2,258,10.1145/2493102.2493115,ACM,vinci,0
research-article,Interaction and evaluation techniques for information visualization: future directions,2013,['Andreas Kerren'],0,,10.1145/2493102.2499784,ACM,vinci,0
research-article,Interdisciplinary studies on information art & design,2013,['Yingqing Xu'],0,,10.1145/2493102.2499785,ACM,vinci,0
research-article,"""Big picture"": mixed-initiative visual analytics of big data",2013,['Michelle Xue Zhou'],1,,10.1145/2493102.2499786,ACM,vinci,0
research-article,Visualisation of large image collections,2013,['Gerald Schaefer'],0,,10.1145/2493102.2499787,ACM,vinci,0
research-article,A fast texture-by-numbers synthesis method based on texture optimization,2012,"['Jing Fan', 'Xiaoying Shi', 'Zhan Zhou', 'Ying Tang']",0,199,10.1145/2397696.2397697,ACM,vinci,22
research-article,A real-time visualization framework for IDS alerts,2012,"['Ying Zhao', 'Fangfang Zhou', 'Xiaoping Fan']",6,361,10.1145/2397696.2397698,ACM,vinci,19
research-article,The shape coordinates system in visualization space,2012,"['Zhifang Jiang', 'Shenghui Cheng', 'Ruobo Xin', 'Xiangxu Meng']",1,106,10.1145/2397696.2397699,ACM,vinci,15
research-article,VISA: a visual sentiment analysis system,2012,"['Dongxu Duan', 'Weihong Qian', 'Shimei Pan', 'Lei Shi', 'Chuang Lin']",17,709,10.1145/2397696.2397700,ACM,vinci,23
research-article,Visualizing disease incidence in the context of socioeconomic factors,2012,"['Jared Shenson', 'Alark Joshi']",2,153,10.1145/2397696.2397701,ACM,vinci,39
research-article,NewsVAT: an interactive visual analytics tool for news exploration,2012,"['Xiaojuan Liu', 'Xia Lin']",0,134,10.1145/2397696.2397702,ACM,vinci,9
research-article,Timeseer: detecting interesting distributions in multiple time series data,2012,"['Tuannhon Dang', 'Leland K Wilkinson']",2,192,10.1145/2397696.2397703,ACM,vinci,15
research-article,Generating time lines with virtual words for time-varying data visualization,2012,"['Li Yu', 'Aidong Lu', 'Weri Chen']",0,216,10.1145/2397696.2397704,ACM,vinci,32
research-article,TabuVis: a light weight visual analytics system for multidimensional data,2012,"['Quang Vinh Nguyen', 'Yu Qian', 'Maolin Huang', 'Jiawan Zhang']",1,174,10.1145/2397696.2397705,ACM,vinci,9
research-article,ExtractVis: dynamic visualization of extracting multidimensional data,2012,"['Zhao Xiao', 'Changbo Wang', 'Changbo Wang', 'Changbo Wang', 'Peng Ye', 'Yuhua Liu', 'Chenming Pang']",0,117,10.1145/2397696.2397706,ACM,vinci,13
research-article,Continuous awareness: a visual mobile approach,2012,"['Cong Chen', 'K. Zhang']",2,199,10.1145/2397696.2397707,ACM,vinci,31
research-article,Feeling the pulse of a wiki: visualization of recent changes in Wikipedia,2012,"['Robert P. Biuk-Aghai', 'Roy Chi Kit Chan']",0,124,10.1145/2397696.2397708,ACM,vinci,12
research-article,Image-based irregular needling embroidery rendering,2012,"['Kewei Yang', 'Jie Zhou', 'Zhengxing Sun', 'Yi Li']",5,229,10.1145/2397696.2397709,ACM,vinci,13
research-article,Evaluation of co-located and distributed collaborative visualization,2012,"['Xianlin Hu', 'Lane T Harrison', 'Aidong Lu', 'Li Yu', 'Huaguang Song', 'Jinzhu Gao']",0,136,10.1145/2397696.2397710,ACM,vinci,16
research-article,Assessing user experience of interactive products: a Chinese questionnaire,2012,"['Shuqing Liu', 'Jiang Jian', 'Xianjunsam Zheng', 'Zaijia Liu', 'Guanmin Liu', 'Kaiping Peng']",2,336,10.1145/2397696.2397711,ACM,vinci,15
research-article,An aggregation-based approach to quality evaluation of graph drawings,2012,"['Weidong Huang', 'Chuncheng Lin', 'Maolin Huang']",3,124,10.1145/2397696.2397712,ACM,vinci,10
research-article,Designing visual analytics systems for organizational environments,2011,"['Xiaoyu Wang', 'Eric A. Bier', 'Thomas James Butkiewicz', 'William Ribarsky', 'Wenwen Dou']",0,313,10.1145/2016656.2016657,ACM,vinci,21
research-article,Visualization of large category hierarchies,2011,"['Robert P. Biuk-Aghai', 'Cheongiao Pang', 'Felix Hon Hou Cheang']",1,261,10.1145/2016656.2016658,ACM,vinci,13
research-article,A visual analysis tool that smoothly switches between tabular forms and parallel coordinates,2011,"['Kazuo Misue', 'Takashi Yuki']",0,135,10.1145/2016656.2016659,ACM,vinci,9
research-article,A hyperbolic tree based interface for exploring massive files,2011,"['Zhirong Zeng', 'Kun Wang', 'Dongxing Teng', ""Hong'an Wang"", 'Guozhong Dai']",0,232,10.1145/2016656.2016660,ACM,vinci,18
research-article,MusiCube: a visual music recommendation system featuring interactive evolutionary computing,2011,"['Yuri Saito', 'Takayuki Itoh']",16,385,10.1145/2016656.2016661,ACM,vinci,9
research-article,Support of self-management for chronic kidney failure patients,2011,"['Yasuhiko Sota', 'Keisuke Yamamoto', 'Masahito Hirakawa', 'Souichiro Doi', 'Yasuhisa Yamamoto']",4,276,10.1145/2016656.2016662,ACM,vinci,15
research-article,Geo-tagged mobile photo sharing in collaborative emergency management,2011,"['Anna Wu', 'Xin Yan', 'Xiaolong(Luke) Zhang']",10,384,10.1145/2016656.2016663,ACM,vinci,29
research-article,Empirical studies of pen tilting performance in pen-based user interfaces,2011,"['Feng Tian', 'Xiang Cao', 'Fei Lyu', 'Guozhong Dai', 'Xiaolong(Luke) Zhang', ""Hong'an Wang""]",0,239,10.1145/2016656.2016664,ACM,vinci,24
research-article,Controlled dataflow visual programming languages,2011,"['Philip Trevor Cox', 'Simon Gauvin']",3,407,10.1145/2016656.2016665,ACM,vinci,29
research-article,Visualizing inference process of a rule engine,2011,"['Jian Shi', 'Ying Qiao', ""Hong'an Wang""]",1,300,10.1145/2016656.2016666,ACM,vinci,17
research-article,Coaxial interactive viewer: a multi-dimensional data visualization with spatial distortional views,2011,"['Jiawan Zhang', 'Yi Zhang', 'Lei Fu', 'Qinghui Guo', 'Maolin Huang']",1,244,10.1145/2016656.2016667,ACM,vinci,19
research-article,InfoShape: high-level views of multidimensional information,2011,"['Jie Hao', 'K. Zhang']",1,134,10.1145/2016656.2016668,ACM,vinci,31
research-article,Visual analysis of people's mobility pattern from mobile phone data,2011,"['Jiansu Pu', 'Panpan Xu', 'Huamin Qu', 'Weiwei Cui', 'Siyuan Liu', 'Lionel Ming Shuan Ni']",4,569,10.1145/2016656.2016669,ACM,vinci,22
research-article,A graph-based fuzzy linguistic metadata schema for describing spatial relationships,2011,"['Yu Su', 'Margaret H Dunham']",0,144,10.1145/2016656.2016670,ACM,vinci,24
research-article,SFViz: interest-based friends exploration and recommendation in social networks,2011,"['Liang Gou', 'Fang You', 'Jun Guo', 'Luqi Wu', 'Xiaolong(Luke) Zhang']",37,942,10.1145/2016656.2016671,ACM,vinci,51
research-article,Visual signatures for financial time series,2011,"['SuTe Lei', 'K. Zhang']",6,419,10.1145/2016656.2016672,ACM,vinci,26
keynote,Beyond the interface: a distributed cognition perspective,2010,['James D Hollan'],0,,10.1145/1865841.1865843,ACM,vinci,0
keynote,The promise of zoomable user interfaces,2010,['Ben Bederson'],4,,10.1145/1865841.1865844,ACM,vinci,0
keynote,Browsing a highly connected information space: can natural language processing help?,2010,['CÉcile Laurance Paris'],0,,10.1145/1865841.1865845,ACM,vinci,0
keynote,"2D and 3D conceptual design sketching: interface, modelling and progress",2010,['Shengfeng Qin'],0,,10.1145/1865841.1865846,ACM,vinci,0
research-article,Difference of inflow and outflow based 3D streamline placement,2010,"['Shaorong Wang', 'Yisong Chen', 'Sheng Li', 'Guoping Wang']",0,110,10.1145/1865841.1865848,ACM,vinci,18
research-article,The research of the regional pollutant concentration visualization based on the particles,2010,"['Zhifang Jiang', 'Miaomiao Li', 'Xiangxu Meng', 'Yan Huang', 'Shenfang Li']",0,90,10.1145/1865841.1865849,ACM,vinci,13
research-article,Simulating self-organizing behaviors of fish school,2010,"['Ye Yuan', 'Zhongke Wu']",1,138,10.1145/1865841.1865850,ACM,vinci,10
research-article,Visualization of BP neural network using parallel coordinates,2010,['Jing Zhao'],0,160,10.1145/1865841.1865852,ACM,vinci,10
research-article,Column-based cluster and bar axis density in parallel coordinates,2010,"['Lei Tang', 'Xueqing Li', 'Wenjing Qi', 'Zhifang Jiang']",0,97,10.1145/1865841.1865853,ACM,vinci,23
research-article,Exploring the relative importance of crossing number and crossing angle,2010,"['Weidong Huang', 'Maolin Huang']",7,143,10.1145/1865841.1865854,ACM,vinci,23
research-article,Semantic comparison of structured visual dataflow programs,2010,"['Philip Trevor Cox', 'Anh Dang']",2,137,10.1145/1865841.1865856,ACM,vinci,24
research-article,A model driven visualization platform for workflow,2010,"['Jiayao Chen', 'Xueqing Li', 'Jingzhao Yang']",0,93,10.1145/1865841.1865857,ACM,vinci,10
research-article,Process visualization to solve the travelling salesman problem,2010,"['J Joshua Thomas', 'Choychee Ken']",2,219,10.1145/1865841.1865858,ACM,vinci,13
research-article,A developing framework for interactive temporal data visualization,2010,"['Xiongfei Luo', 'Dongxing Teng', 'Wei Liu', 'Feng Tian', 'Guozhong Dai', ""Hong'an Wang""]",1,227,10.1145/1865841.1865860,ACM,vinci,29
research-article,Cooperative concept map based on cognitive model for visual analysis,2010,"['Yi Du', 'Cui-Xia Ma', 'Dongxing Teng', 'Guozhong Dai']",0,139,10.1145/1865841.1865861,ACM,vinci,29
research-article,Interactive visualization with user perspective: a new concept,2010,"['Quang Vinh Nguyen', 'Simeon J Simoff', 'Maolin Huang']",2,144,10.1145/1865841.1865862,ACM,vinci,11
research-article,Harvesting discourse strategies for rapid prototyping of tailored information delivery systems,2010,"['Shijian Lu', 'CÉcile Laurance Paris']",0,60,10.1145/1865841.1865864,ACM,vinci,13
research-article,TagNetLens: multiscale visualization of knowledge structures in social tags,2010,"['Liang Gou', 'Shaoke Zhang', 'Jing Wang', 'Xiaolong(Luke) Zhang']",1,121,10.1145/1865841.1865865,ACM,vinci,42
research-article,Visually searching the web for structural content,2010,"['Hirofumi Miyamoto', 'Masahito Hirakawa']",0,105,10.1145/1865841.1865866,ACM,vinci,18
research-article,A visual analytics system for financial time-series data,2010,"['SuTe Lei', 'K. Zhang']",6,593,10.1145/1865841.1865868,ACM,vinci,22
research-article,Event-based approach to money laundering data analysis and visualization,2010,"['Tatman Cheong', 'Yain Whar Si']",4,295,10.1145/1865841.1865869,ACM,vinci,33
research-article,An interactive sensemaking framework for mobile visual analytics,2010,"['Anna Wu', 'Xiaolong(Luke) Zhang', 'Guoray Cai']",2,293,10.1145/1865841.1865870,ACM,vinci,58
research-article,How Students Design Visual Interfaces for Information Visualization Tools,2022,['Michael Burch'],0,30,10.1145/3554944.3554948,ACM,vinci,34
research-article,Abstract and Concrete Materials: What to use for Visualization Onboarding for a Treemap Visualization?,2022,"['Christina Stoiber', 'Florian Grassinger', 'Wolfgang Aigner']",0,34,10.1145/3554944.3554949,ACM,vinci,42
research-article,Content-Driven Layout for Visualization Design,2022,"['Yngve S Kristiansen', 'Laura A Garrison', 'Stefan Bruckner']",0,25,10.1145/3554944.3554950,ACM,vinci,40
research-article,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",2022,"['Zhenbao Fan', 'Yixuan Zhu', 'Christine Yan', 'Yufan Li', 'Kang Zhang']",0,19,10.1145/3554944.3554951,ACM,vinci,42
research-article,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,2022,"['Hongzhi Zhu', 'Septimiu Edmund Salcudean', 'Robert N Rohling']",0,12,10.1145/3554944.3554952,ACM,vinci,55
short-paper,Conditions of Preserving Mental Images by Contour Deformation,2022,['Kazuo Misue'],0,7,10.1145/3554944.3554953,ACM,vinci,6
research-article,Group Diagrams for Simplified Representation of Scanpaths,2022,"['Peter Schaefer', 'Nils Rodrigues', 'Daniel Weiskopf', 'Sabine Storandt']",0,27,10.1145/3554944.3554971,ACM,vinci,19
research-article,Accelerating GPU Rendering of 2D Visualizations Using Resolution Scaling and Temporal Reconstruction,2022,"['Michael Becher', 'Moritz Heinemann', 'Thomas Marmann', 'Guido Reina', 'Daniel Weiskopf', 'Thomas Ertl']",0,13,10.1145/3554944.3554947,ACM,vinci,23
research-article,Animated Transitions for Small-Scale Visualizations,2022,"['Franziska Huth', 'Tanja Blascheck', 'Steffen Koch', 'Thomas Ertl']",0,18,10.1145/3554944.3554945,ACM,vinci,37
research-article,LegisLatio: A visualization Tool for Legislative Roll-call Vote Data,2022,"['Gonzalo Gabriel Méndez', 'Oscar Moreno', 'Patricio Mendoza']",0,8,10.1145/3554944.3554957,ACM,vinci,34
short-paper,ICEVis: Interactive Clustering Exploration for tumor sub-region analysis in multiparametric cancer imaging,2022,"['Eric Mörth', 'Tanja Eichner', 'Ingfrid S Haldorsen', 'Stefan Bruckner', 'Noeska N Smit']",0,24,10.1145/3554944.3554958,ACM,vinci,35
short-paper,Visual Analysis of Spatio-Temporal Earthquake Events,2022,"['Michael Burch', 'Indre Tauroseviciute', 'Guillermo Mateos Guridi']",0,19,10.1145/3554944.3554959,ACM,vinci,23
research-article,Investigation of Two Complexity Sources for Statistical Graphs,2022,"['Mark Alan Livingston', 'Derek P Brock']",0,6,10.1145/3554944.3554954,ACM,vinci,25
short-paper,Toward In-Situ Authoring of Situated Visualization with Chorded Keyboards,2022,"['Sarah Dosdall', 'Katrin Angerbauer', 'Leonel Merino', 'Michael Sedlmair', 'Daniel Weiskopf']",0,19,10.1145/3554944.3554970,ACM,vinci,30
short-paper,MolecuSense: Using Force-Feedback Gloves for Creating and Interacting with Ball-and-Stick Molecules in VR,2022,"['Patrick Gebhardt', 'Xingyao Yu', 'Andreas Köhn', 'Michael Sedlmair']",0,28,10.1145/3554944.3554956,ACM,vinci,24
poster,Visual Similarity Analysis of Geospatial Properties for Swiss Municipalities,2022,"['Yves Staudt', 'Michael Burch', 'Alexander van Schie', 'Heiko Rölke']",0,5,10.1145/3554944.3554960,ACM,vinci,9
poster,A Benchmark for the Use of Topic Models for Text Visualization Tasks,2022,"['Daniel Atzberger', 'Tim Cech', 'Willy Scheibel', 'Daniel Limberger', 'Matthias Trapp', 'Jürgen Döllner']",0,16,10.1145/3554944.3554961,ACM,vinci,20
poster,Pi-Experience – Making 62.8 Trillion Digits Come Alive,2022,"['Bruno Frey', 'Alexander van Schie', 'Giada Zacheo']",0,7,10.1145/3554944.3554962,ACM,vinci,15
