name,url,institutions
Mandy Keck,Mandy Keck,"['University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'Technische Universität Dresden']"
Rainer Groh,Rainer Groh,['Technische Universität Dresden']
Fangfang Zhou,Fangfang Zhou,['Central South University']
Minghui Chen,Minghui Chen,['Central South University']
Zeyu Wang,Zeyu Wang,['Central South University']
Feng Luo,Feng Luo,['Central South University']
Xiaobo Luo,Xiaobo Luo,['Central South University']
Wei Huang,Wei Huang,['Central South University']
Yi Chen,Yi Chen,['Beijing Technology and Business University']
Ying Zhao,Ying Zhao,['Central South University']
Yang Zou,Yang Zou,['Hohai University']
Xiaoqin Zeng,Xiaoqin Zeng,"['Hohai University', 'The University of Texas at Dallas', 'Hong Kong Polytechnic University']"
Huiyi Liu,Huiyi Liu,['Hohai University']
Yuhua Liu,Yuhua Liu,"['East China Normal University', 'Shanghai University']"
Hanfei Lin,Hanfei Lin,['East China Normal University']
Yitao Liang,Yitao Liang,['East China Normal University']
Sangbong Yoo,Sangbong Yoo,['Sejong University']
Hongryeol Ryu,Hongryeol Ryu,['Yonsei University']
Taekyoung ‘Taekyoung’ Kwon,Taekyoung ‘Taekyoung’ Kwon,"['Sejong University', 'Seoul National University', 'Yonsei University', 'The Ohio State University']"
Nils Rodrigues,Nils Rodrigues,['University of Stuttgart']
Rudolf Netzel,Rudolf Netzel,['University of Stuttgart']
Kazi Riaz Ullah,Kazi Riaz Ullah,['University of Stuttgart']
Alexander Schultz,Alexander Schultz,['Fraunhofer Institute for Solar Energy Systems ISE']
Bruno Burger,Bruno Burger,['Fraunhofer Institute for Solar Energy Systems ISE']
Daniel Weiskopf,Daniel Weiskopf,"['University of Stuttgart', 'University of Konstanz', 'Simon Fraser University']"
Kumaripaba Athukorala,Kumaripaba Athukorala,"['Aalto University', 'University of Helsinki', 'Helsinki Institute for Information Technology', 'University of Oulu']"
Chao An,Chao An,"['University of Helsinki', 'Aalto University']"
Aki Reijonen,Aki Reijonen,"['University of Helsinki', 'Helsinki Institute for Information Technology']"
Jaakko Peltonen,Jaakko Peltonen,"['University of Tampere', 'Aalto University', 'Helsinki Institute for Information Technology']"
Christian Bors,Christian Bors,['Vienna University of Technology']
Markus Bögl,Markus Bögl,['Vienna University of Technology']
Theresia Gschwandtner,Theresia Gschwandtner,['Vienna University of Technology']
Silvia Miksch,Silvia Miksch,"['Vienna University of Technology', 'Danube University Krems']"
Kazuo Misue,Kazuo Misue,"['University of Tsukuba', 'Fujitsu Ltd.']"
Kosuke Otake,Kosuke Otake,['University of Tsukuba']
Takahiro Saito,Takahiro Saito,['Fujitsu Ltd.']
Jieliang Luo,Jieliang Luo,[]
Donghao Ren,Donghao Ren,"['University of California, Santa Barbara']"
George Legrady,George Legrady,"['University of California, Santa Barbara']"
Congmin Li,Congmin Li,['Tianjin University']
Boyi Li,Boyi Li,['University of Toronto']
Amontep Wijitcharoen,Amontep Wijitcharoen,['King Mongkuts University of Technology Thonburi']
Jonathan Hoyin Chan,Jonathan Hoyin Chan,['King Mongkuts University of Technology Thonburi']
Simon James Fong,Simon James Fong,"['University of Macau', 'Chinese Academy of Sciences', 'Nanyang Technological University']"
Robert P. Biuk-Aghai,Robert P. Biuk-Aghai,['University of Macau']
Scarlet Tin,Scarlet Tin,['University of Macau']
Yihang Bo,Yihang Bo,[]
Yi Yang,Yi Yang,['Chinese Academy of Sciences']
Xianglei Zhu,Xianglei Zhu,[]
Shuai Zhao,Shuai Zhao,[]
Quan Wen,Quan Wen,[]
Wenjun Guo,Wenjun Guo,['Ajou University']
Seungwook Kim,Seungwook Kim,['Seoul National University']
Sangjoon Son,Sangjoon Son,['Ajou University']
Changhyung Hong,Changhyung Hong,['Ajou University']
Hyunjung (Helen) Shin,Hyunjung (Helen) Shin,"['Ajou University', 'University of Tübingen', 'Friedrich Miescher Laboratory', 'Seoul National University', 'Max Planck Institute for Biological Cybernetics']"
Thanyathorn Thanapattheerakul,Thanyathorn Thanapattheerakul,['King Mongkuts University of Technology Thonburi']
Jaturong Kongmanee,Jaturong Kongmanee,"['Michigan State University', 'Texas Tech University', 'King Mongkuts University of Technology Thonburi']"
Saila Shama,Saila Shama,['University of Toronto']
Philip Lu,Philip Lu,['University of Toronto']
Narumol Doungpan,Narumol Doungpan,['King Mongkuts University of Technology Thonburi']
Asawin Meechai,Asawin Meechai,['King Mongkuts University of Technology Thonburi']
Jiafan Li,Jiafan Li,['East China Normal University']
Zhijie Qiao,Zhijie Qiao,['East China Normal University']
Junjie Wang,Junjie Wang,['East China Normal University']
Wutthipong Kongburan,Wutthipong Kongburan,['King Mongkuts University of Technology Thonburi']
Praisan Padungweang,Praisan Padungweang,['King Mongkuts University of Technology Thonburi']
Worarat Krathu,Worarat Krathu,"['King Mongkuts University of Technology Thonburi', 'Vienna University of Technology']"
Luca Chech,Luca Chech,['University of Padova']
Marta Vasilieva,Marta Vasilieva,['University of Helsinki']
Lorenzo Papa,Lorenzo Papa,['University of Padova']
Luciano Gamberini,Luciano Gamberini,['University of Padova']
Jiajing Zhang,Jiajing Zhang,['Zhejiang University']
Ren Peng,Ren Peng,"['Zhejiang University', 'School of Computer and Computing Science']"
Jinhui Yu,Jinhui Yu,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']"
Denise Junger,Denise Junger,['University of Stuttgart']
Isabel Hagen,Isabel Hagen,['University of Stuttgart']
Robin Horst,Robin Horst,['University of Stuttgart']
Lukas Brand,Lukas Brand,"['Landshut University of Applied Sciences', 'University of Erlangen-Nuremberg', 'University of Stuttgart']"
Armin Müller,Armin Müller,['University of Stuttgart']
Benjamin Weinert,Benjamin Weinert,"['University of Oldenburg', 'University of Stuttgart']"
Patrick Cheong-Iao Pang,Patrick Cheong-Iao Pang,"['School of Computing and Information Systems', 'University of Melbourne']"
Bin Pang,Bin Pang,['University of Macau']
Dominique Tranquille,Dominique Tranquille,['University of Brighton']
Gem Stapleton,Gem Stapleton,"['University of Brighton', 'University of Kent']"
Jim Burton,Jim Burton,['University of Brighton']
Peter J Rodgers,Peter J Rodgers,['University of Kent']
Thomas Gründer,Thomas Gründer,['Technische Universität Dresden']
Thomas Thom,Thomas Thom,[]
Martin Kleinsteuber,Martin Kleinsteuber,"['Technical University of Munich', 'Mercateo Deutschland AG', 'Ludwig-Maximilians-University Munich', 'TUM Department of Electrical and Computer Engineering', 'The Australian National University', 'CSIRO Data61', 'Julius-Maximilian University of Würzburg']"
Alexander Maasch,Alexander Maasch,[]
Yuri Sato,Yuri Sato,['University of Brighton']
Mateja Jamnik,Mateja Jamnik,"['University of Cambridge', 'Department of Computer Science and Technology', 'The University of Edinburgh']"
Zohreh Shams,Zohreh Shams,"['University of Bath', 'University of Cambridge']"
Andrew Blake,Andrew Blake,['University of Brighton']
Francesco Paduano,Francesco Paduano,['University of Illinois at Chicago']
Ronak Etemadpour,Ronak Etemadpour,"['City University of New York', 'Oklahoma State University - Stillwater', 'Oklahoma State University System', 'Jacobs University Bremen']"
Angus Graeme Forbes,Angus Graeme Forbes,"['University of California, Santa Cruz', 'Purdue University', 'University of Illinois at Chicago', 'The University of Arizona', '+ 1']"
Yun Wang,Yun Wang,['Hong Kong University of Science and Technology']
Dongyu Liu,Dongyu Liu,"['Massachusetts Institute of Technology', 'Hong Kong University of Science and Technology']"
Huamin Qu,Huamin Qu,"['Hong Kong University of Science and Technology', 'IEEE']"
Qiong Luo,Qiong Luo,"['Hong Kong University of Science and Technology', 'Tsinghua University']"
Xiaojuan Ma,Xiaojuan Ma,"['Hong Kong University of Science and Technology', 'University of Michigan, Ann Arbor', '+ 2']"
Yang Shi,Yang Shi,"['Tongji University', 'Central South University']"
Yaoxue Zhang,Yaoxue Zhang,"['Tsinghua University', 'Central South University']"
Guojun Wang,Guojun Wang,"['Guangzhou University', 'Central South University', 'Temple University', 'The University of Aizu', 'Hong Kong Polytechnic University']"
Ronghua Shi,Ronghua Shi,['Central South University']
Xing Liang,Xing Liang,['Arizona State University']
Rainer C Splechtna,Rainer C Splechtna,"['VRVis Research Center', 'University of Maryland, College Park (UMD)']"
Alexandra Diehl,Alexandra Diehl,"['University of Konstanz', 'University of Buenos Aires', 'University of Maryland, College Park (UMD)']"
Mai H Elshehaly,Mai H Elshehaly,"['Virginia Polytechnic Institute and State University', 'University of Maryland, College Park (UMD)', 'University of Maryland, Baltimore (UMB)']"
Claudio A Delrieux,Claudio A Delrieux,"['South National University', 'University of Maryland, College Park (UMD)']"
Denis Gracanin,Denis Gracanin,"['Virginia Polytechnic Institute and State University', 'University of Maryland, College Park (UMD)', '+ 4']"
Krešimir Matković,Krešimir Matković,"['VRVis Research Center', 'University of Maryland, College Park (UMD)', 'IEEE']"
Kouhei Yasuda,Kouhei Yasuda,['The University of Tokyo']
Shigeo Takahashi,Shigeo Takahashi,"['The University of Aizu', 'The University of Tokyo', 'IEEE']"
Hsiangyun Wu,Hsiangyun Wu,"['Vienna University of Technology', 'Keio University', 'The University of Tokyo']"
Quang Vinh Nguyen,Quang Vinh Nguyen,"['The MARCS Institute for Brain, Behaviour and Development', 'Western Sydney University', 'University of Technology Sydney']"
Simeon J Simoff,Simeon J Simoff,"['Western Sydney University', 'The MARCS Institute for Brain, Behaviour and Development', '+ 1']"
Yu Qian,Yu Qian,"['J. Craig Venter Institute', 'The University of Texas at Dallas']"
Maolin Huang,Maolin Huang,"['University of Technology Sydney', 'Tianjin University', 'Tianjin University of Technology', '+ 1']"
Martin Röhlig,Martin Röhlig,['University of Rostock']
H. Schumann,H. Schumann,['University of Rostock']
Ruth West,Ruth West,"['University of North Texas', 'University of California, Los Angeles', 'University of California, San Diego']"
Meghan Kajihara,Meghan Kajihara,['University of North Texas']
Max Parola,Max Parola,['University of North Texas']
Kathryn Hays,Kathryn Hays,['University of North Texas']
Luke Hillard,Luke Hillard,['University of North Texas']
