e1,e2,value
Corneel Vandelanotte,Anetta Van Itallie,1
Corneel Vandelanotte,W Kerry Mummery,1
Mitch J Duncan,Cristina M Caperchione,1
Mitch J Duncan,Richard R Rosenkranz,1
Mitch J Duncan,Anetta Van Itallie,1
Mitch J Duncan,W Kerry Mummery,1
Cristina M Caperchione,Richard R Rosenkranz,1
Cristina M Caperchione,Anetta Van Itallie,1
Cristina M Caperchione,W Kerry Mummery,1
Richard R Rosenkranz,Anetta Van Itallie,1
Richard R Rosenkranz,W Kerry Mummery,1
Anetta Van Itallie,W Kerry Mummery,1
Isha Singh Jassi,S Ruchika,1
Isha Singh Jassi,Susmitha Pulakhandam,1
Isha Singh Jassi,Subhayan Mukherjee,1
Isha Singh Jassi,T S Ashwin,1
Isha Singh Jassi,Geereddy Ram Mohana Reddy,1
S Ruchika,Susmitha Pulakhandam,1
S Ruchika,Subhayan Mukherjee,1
S Ruchika,T S Ashwin,1
S Ruchika,Geereddy Ram Mohana Reddy,1
Susmitha Pulakhandam,Subhayan Mukherjee,1
Susmitha Pulakhandam,T S Ashwin,1
Susmitha Pulakhandam,Geereddy Ram Mohana Reddy,1
Subhayan Mukherjee,T S Ashwin,1
Subhayan Mukherjee,Geereddy Ram Mohana Reddy,1
Geereddy Ram Mohana Reddy,T S Ashwin,3
Mengyao Chen,Cong Chen,1
Mengyao Chen,Shuqing Liu,1
Mengyao Chen,K. Zhang,1
Cong Chen,Shuqing Liu,1
Shuqing Liu,K. Zhang,1
Xiaofei Guo,Juanzi Li,1
Xiaofei Guo,Ruibing Yang,1
Xiaofei Guo,Xiaoli Ma,1
Juanzi Li,Ruibing Yang,1
Juanzi Li,Xiaoli Ma,1
Ruibing Yang,Xiaoli Ma,1
Priyamvada Tiwari,Keyur Sorathia,1
Joris Suppers,Mark D Apperley,1
Gem Stapleton,Andrew Blake,2
Andrew Blake,Peter J Rodgers,1
Andrew Blake,John Howse,1
Gem Stapleton,Peter J Rodgers,2
Gem Stapleton,John Howse,1
Peter J Rodgers,John Howse,1
Weidong Huang,Tomasz P Bednarz,1
Phillip Gough,Xavier Ho,1
Phillip Gough,Kate Dunn,1
Phillip Gough,Tomasz P Bednarz,1
Xavier Ho,Kate Dunn,1
Xavier Ho,Tomasz P Bednarz,1
Kate Dunn,Tomasz P Bednarz,1
Ryuya Akase,Yoshihiro Okada,1
Ning Li,Haoxin Sun,1
Zhifang Jiang,Haoxin Sun,1
Zixiang Liu,Haoxin Sun,1
Sakib Jalil,Trina S Myers,1
Sakib Jalil,Ian M Atkinson,1
Trina S Myers,Ian M Atkinson,2
Minwook Kim,Geoffrey M Draper,1
Hiba Ahsan,Aarti Prabhu,1
Hiba Ahsan,S D Deeksha,1
Hiba Ahsan,Shridhar G Domanal,1
Hiba Ahsan,T S Ashwin,1
Hiba Ahsan,Geereddy Ram Mohana Reddy,1
Aarti Prabhu,S D Deeksha,1
Aarti Prabhu,Shridhar G Domanal,1
Aarti Prabhu,T S Ashwin,1
Aarti Prabhu,Geereddy Ram Mohana Reddy,1
S D Deeksha,Shridhar G Domanal,1
S D Deeksha,T S Ashwin,1
S D Deeksha,Geereddy Ram Mohana Reddy,1
T S Ashwin,Shridhar G Domanal,2
Geereddy Ram Mohana Reddy,Shridhar G Domanal,2
Dylan Mathiesen,Trina S Myers,1
Dylan Mathiesen,Ian M Atkinson,1
Andrew Bennett,Christopher Lueg,1
Jacob L Cybulski,Susan Keller,1
Jacob L Cybulski,Dilal Saundage,1
Susan Keller,Dilal Saundage,1
Kiho Sakamoto,Takayuki Itoh,1
Lakkhana Mallikarachchi,Anuja T Dharmaratne,1
Yi Li,Zhenfeng Wu,1
Yi Li,Ting Sun,1
Zhenfeng Wu,Ting Sun,1
Callum Parker,Martin Tomitsch,1
Alireza Rezaeian,Jared Donovan,1
P K S Udana,Anuja T Dharmaratne,1
Fumie Banba,Takayuki Itoh,1
Fumie Banba,Naruhito Toyoda,1
