author_id,author_name,institute_id,institute_name
81100255622,Silvia  Miksch,60004038,Danube University Krems
81100517120,Kazuo Misue,60014256,University of Tsukuba
81100517120,Kazuo Misue,60007951,Fujitsu Ltd.
99659194175,Kosuke  Otake,60014256,University of Tsukuba
99659194114,Takahiro  Saito,60007951,Fujitsu Ltd.
84460132057,Donghao  Ren,60029241,"University of California, Santa Barbara"
81320492170,George  Legrady,60029241,"University of California, Santa Barbara"
99659194233,Congmin  Li,60019533,Tianjin University
99659194283,Boyi  Li,60016849,University of Toronto
99659194157,Amontep  Wijitcharoen,60008786,King Mongkuts University of Technology Thonburi
81413599918,Jonathan Hoyin Chan,60008786,King Mongkuts University of Technology Thonburi
81339499259,Simon James Fong,60022317,University of Macau
81339499259,Simon James Fong,60019499,Chinese Academy of Sciences
81339499259,Simon James Fong,60005510,Nanyang Technological University
81100203521,Robert P. Biuk-Aghai,60022317,University of Macau
99659194248,Scarlet  Tin,60022317,University of Macau
99659194162,Yi  Yang,60019499,Chinese Academy of Sciences
84459002557,Wenjun  Guo,60002445,Ajou University
99659194257,Seungwook  Kim,60013682,Seoul National University
99659178205,Sangjoon  Son,60002445,Ajou University
99659178107,Changhyung  Hong,60002445,Ajou University
81100157592,Hyunjung (Helen) Shin,60002445,Ajou University
81100157592,Hyunjung (Helen) Shin,60017246,University of Tübingen
81100157592,Hyunjung (Helen) Shin,60026840,Friedrich Miescher Laboratory
81100157592,Hyunjung (Helen) Shin,60013682,Seoul National University
99659127931,Thanyathorn Thanapattheerakul,60008786,King Mongkuts University of Technology Thonburi
99659128019,Jaturong  Kongmanee,60031707,Michigan State University
99659128019,Jaturong  Kongmanee,60021285,Texas Tech University
99659128019,Jaturong  Kongmanee,60008786,King Mongkuts University of Technology Thonburi
99659194254,Saila  Shama,60016849,University of Toronto
99659194245,Philip  Lu,60016849,University of Toronto
99659194291,Narumol  Doungpan,60008786,King Mongkuts University of Technology Thonburi
81384616279,Asawin  Meechai,60008786,King Mongkuts University of Technology Thonburi
99659097484,Jiafan  Li,60021200,East China Normal University
99659194115,Zhijie  Qiao,60021200,East China Normal University
99659194278,Junjie  Wang,60021200,East China Normal University
99659154692,Wutthipong  Kongburan,60008786,King Mongkuts University of Technology Thonburi
81442613236,Praisan  Padungweang,60008786,King Mongkuts University of Technology Thonburi
81550167556,Worarat  Krathu,60008786,King Mongkuts University of Technology Thonburi
81550167556,Worarat  Krathu,60018163,Vienna University of Technology
83058634857,Luca  Chech,60000481,University of Padova
99659194161,Marta  Vasilieva,60002952,University of Helsinki
99659194174,Lorenzo  Papa,60000481,University of Padova
81100210885,Luciano  Gamberini,60000481,University of Padova
99659185901,Jiajing  Zhang,60003970,Zhejiang University
81466642306,Ren  Peng,60003970,Zhejiang University
81466642306,Ren  Peng,60118080,School of Computer and Computing Science
81381602769,Jinhui  Yu,60117933,"State Key Lab of CAD&CG, Zhejiang University"
81381602769,Jinhui  Yu,60003970,Zhejiang University
